key	scope	ko	en
charging.fee.sim.hero.title	charging	내 충전요금 시뮬레이터	My Charging Cost Simulator
charging.fee.sim.kwh.aria	charging	충전량 (kWh)	Charge amount (kWh)
charging.fee.sim.lbl.brand	charging	제조사	Manufacturer
charging.fee.sim.lbl.card	charging	내 카드 (사업자)	My Card (Operator)
charging.fee.sim.lbl.charger	charging	타사 충전기	Other Operator's Charger
charging.fee.sim.lbl.condition	charging	조건 (선택)	Condition (Optional)
charging.fee.sim.lbl.kwh	charging	충전량	Charge Amount
charging.fee.sim.lbl.member	charging	회원유형	Member Type
charging.fee.sim.lbl.model	charging	차량 모델	Vehicle Model
charging.fee.sim.lbl.season	charging	계절 · 시간대	Season · Time of Use
charging.fee.sim.lbl.speed	charging	출력	Power Output
charging.fee.sim.lead	charging	주행거리·충전 패턴을 입력하면 월 예상 충전비와 사업자별 최적 요금제를 계산합니다.	Enter your driving distance and charging pattern to estimate monthly cost and find the best operator rate plan.
charging.fee.sim.opt.brand_first	charging	제조사 먼저 선택	Select manufacturer first
charging.fee.sim.opt.choose	charging	선택	Select
charging.fee.sim.opt.default	charging	기본 (조건 없음)	Default (No condition)
charging.fee.sim.opt.member	charging	회원	Member
charging.fee.sim.opt.mid	charging	중간부하	Mid-peak
charging.fee.sim.opt.nonmember	charging	비회원	Non-member
charging.fee.sim.opt.off	charging	경부하	Off-peak
charging.fee.sim.opt.on	charging	최대부하	Peak
charging.fee.sim.opt.roaming	charging	로밍	Roaming
charging.fee.sim.opt.spring_fall	charging	봄·가을	Spring/Fall
charging.fee.sim.opt.summer	charging	여름	Summer
charging.fee.sim.opt.winter	charging	겨울	Winter
charging.fee.sim.result.card	charging	결제 카드	Payment Card
charging.fee.sim.result.charger	charging	이용 충전기	Charger Used
charging.fee.sim.result.lbl	charging	예상 충전요금 (회원)	Estimated Charging Cost (Member)
charging.fee.sim.result.note	charging	제조사·차량 모델·카드·충전기를 선택해 주세요.	Please select manufacturer, vehicle model, card, and charger.
charging.fee.sim.result.rateline	charging	단가 — 원/kWh	Unit price — KRW/kWh
charging.fee.sim.title	charging	내 충전요금 시뮬레이터	My Charging Fee Simulator
charging.fee.tab.ev	charging	전기차 충전요금	EV Charging Fees
charging.fee.tab.matrix	charging	요금매트릭스	Fee Matrix
charging.fee.tab.sim	charging	내 충전요금 시뮬레이터	My Fee Simulator
charging.fee.tariff.cap.fast100	charging	급속 100kW이상	Fast (100 kW and above)
charging.fee.tariff.cap.fast50	charging	급속 100kW미만	Fast (under 100 kW)
charging.fee.tariff.close.aria	charging	닫기	Close
charging.fee.tariff.day.saturday	charging	토요일	Saturday
charging.fee.tariff.day.sunday	charging	일·공휴일	Sunday/Holiday
charging.fee.tariff.day.weekday	charging	평일	Weekday
charging.fee.tariff.note	charging	※ 봄·가을(3~5월, 9~10월) 주말·공휴일 11~14시 전력량요금 50% 할인 적용 (2026.4.18~)<br>※ 로밍 요금은 충전사업자와 협의 후 추후 적용 예정	* Spring/Fall (Mar-May, Sep-Oct) weekends/holidays 11:00-14:00: 50% off energy charge (from 2026.4.18)<br>* Roaming rates to be applied after consultation with charging operators
charging.fee.tariff.optgroup.private	charging	민간	Private
charging.fee.tariff.optgroup.public	charging	공공	Public
charging.fee.tariff.season.spring	charging	봄·가을	Spring/Fall
charging.fee.tariff.season.summer	charging	여름	Summer
charging.fee.tariff.season.winter	charging	겨울	Winter
charging.fee.tariff.title	charging	⏰ 시간대별 충전요금	⏰ Time-of-Use Charging Rates
charging.fee.tindex.close.aria	charging	모달 닫기	Close modal
charging.fee.tindex.eyebrow	charging	충전인프라 투명성 지수 (T-INDEX) v3	Charging Infrastructure Transparency Index (T-INDEX) v3
charging.fee.tindex.role.admin	charging	담당자	Administrator
charging.fee.tindex.role.aria	charging	역할 선택	Select role
charging.fee.tindex.role.cpo	charging	사업자	Operator
charging.fee.tindex.role.public	charging	사용자	User
charging.fee.tindex.title	charging	사업자별 운영 현황 대시보드	Operator Status Dashboard
charging.fee.title	charging	전기차 충전요금 안내	EV Charging Fees
charging.find.ai.desc	charging	실시간 충전기 가동률·요금·편의시설·휴게소 위치를 종합 분석해 최단 시간 또는 최저 요금 경로를 제안합니다. 주행 중 가동률이 변동되면 자동으로 대체 충전소를 재추천합니다.	Comprehensively analyzes real-time charger utilization, rates, amenities, and rest areas to suggest the shortest-time or lowest-cost route. If utilization changes mid-trip, alternative stations are automatically recommended.
charging.find.ai.title	charging	AI 경로 최적화	AI Route Optimization
charging.find.btn.csv.title	charging	CSV 다운로드	CSV Download
charging.find.btn.search	charging	검색	Search
charging.find.btn.xlsx.title	charging	Excel 다운로드	Excel Download
charging.find.fav.btn	charging	즐겨찾기 관리	Manage Favorites
charging.find.fav.desc	charging	자주 사용하는 충전소를 즐겨찾기하면 빠르게 접근할 수 있습니다.	Bookmark your frequent stations for quick access.
charging.find.fav.title	charging	내 즐겨찾기	My Favorites
charging.find.filter.connector	charging	커넥터	Connector
charging.find.filter.search	charging	검색	Search
charging.find.filter.search.ph	charging	지역명·충전소명·주소	Region, station name, or address
charging.find.filter.speed	charging	충전 속도	Charging Speed
charging.find.filter.vehicle	charging	차종	Vehicle Type
charging.find.kbd.availonly	charging	이용 가능한 충전기만 표시	Show available chargers only
charging.find.kbd.btn	charging	현재 위치로 검색	Search by Current Location
charging.find.kbd.connector	charging	커넥터 (내 차량)	Connector (My Vehicle)
charging.find.kbd.desc	charging	현재 위치에서 반경을 선택하면 가장 가까운 충전소부터 안내합니다.	Choose a radius from your current location to see the nearest stations first.
charging.find.kbd.opt.all	charging	전체	All
charging.find.kbd.opt.conn.ac3	charging	AC 3상	AC 3-phase
charging.find.kbd.opt.conn.auto	charging	자동 감지	Auto-detect
charging.find.kbd.opt.conn.chademo	charging	DC 차데모	DC CHAdeMO
charging.find.kbd.opt.conn.combo	charging	DC 콤보	DC Combo
charging.find.kbd.opt.conn.nacs	charging	NACS (테슬라)	NACS (Tesla)
charging.find.kbd.opt.ev.fast	charging	전기차 (급속)	EV (Fast)
charging.find.kbd.opt.ev.slow	charging	전기차 (완속)	EV (Slow)
charging.find.kbd.opt.h2	charging	수소차	H2 (Hydrogen)
charging.find.kbd.radius	charging	검색 반경	Search Radius
charging.find.kbd.title	charging	내 위치 기반 검색	Location-Based Search
charging.find.kbd.type	charging	충전기 유형	Charger Type
charging.find.lead	charging	전기·수소 충전소를 하나의 지도에서 <strong>통합 검색</strong>하고, <strong>GPS 반경 1·5·10km</strong>·<strong>경로 기반 검색</strong>으로 최적의 충전소를 찾습니다.	<strong>Search EV and hydrogen chargers</strong> on a single map, find optimal stations by <strong>GPS radius (1·5·10 km)</strong> or <strong>route-based search</strong>.
charging.find.legend.busy	charging	사용중	In Use
charging.find.legend.ev	charging	전기 (이용가능)	EV (Available)
charging.find.legend.h2	charging	수소	H2
charging.find.map.api.desc	charging	공공데이터포털 충전소 API + 지도 SDK 실시간 연동	Public Data Portal Charging Station API + Map SDK real-time integration
charging.find.map.api.title	charging	네이버지도 / 카카오맵 API 연동 영역	Naver Map / Kakao Map API Integration Area
charging.find.map.mylocation	charging	현재 위치	My Location
charging.find.map.zoomin	charging	확대	Zoom In
charging.find.map.zoomout	charging	축소	Zoom Out
charging.find.opt.ac3	charging	AC 3상	AC 3-phase
charging.find.opt.acslow	charging	AC 완속	AC Slow
charging.find.opt.all	charging	전체	All
charging.find.opt.chademo	charging	DC 차데모	DC CHAdeMO
charging.find.opt.combo	charging	DC 콤보	DC Combo
charging.find.opt.ev	charging	전기차	EV
charging.find.opt.fast	charging	급속 (50~100kW)	Fast (50–100kW)
charging.find.opt.h2	charging	수소차	Hydrogen
charging.find.opt.nacs	charging	NACS	NACS
charging.find.opt.slow	charging	완속 (7kW)	Slow (7kW)
charging.find.opt.ultra	charging	초급속 (350kW+)	Ultra-fast (350kW+)
charging.find.quick.24h	charging	24시간 운영	24-hour Operation
charging.find.quick.all	charging	전체	All
charging.find.quick.amenity	charging	편의시설	Amenities
charging.find.quick.avail	charging	이용 가능	Available
charging.find.quick.bush2	charging	버스 수소	H2 Bus
charging.find.quick.freepark	charging	무료 주차	Free Parking
charging.find.quick.highway	charging	고속도로 휴게소	Highway Rest Area
charging.find.quick.label	charging	빠른 필터	Quick Filters
charging.find.quick.open	charging	개방형	Open Access
charging.find.quick.ultra	charging	초급속 350kW+	Ultra-fast 350kW+
charging.find.result.prefix	charging	검색 결과	Results
charging.find.result.suffix	charging	건	
charging.find.route.btn.add	charging	추가	Add
charging.find.route.btn.addrsearch	charging	주소검색	Address Search
charging.find.route.btn.mylocation	charging	내 위치	My Location
charging.find.route.btn.search	charging	경로 검색	Search Route
charging.find.route.desc	charging	출발지·도착지를 입력하면 경로 상 최적의 충전 포인트를 자동 추천합니다.	Enter origin and destination; we recommend optimal charging stops on the route.
charging.find.route.dot.end	charging	도	C
charging.find.route.dot.start	charging	출	A
charging.find.route.dot.via	charging	경	B
charging.find.route.end.val	charging	부산광역시 해운대구 센텀동로 17	17 Centum-dong-ro, Haeundae-gu, Busan
charging.find.route.kpi.cost	charging	예상 충전비	Est. Charging Cost
charging.find.route.kpi.cost.v	charging	18,400원	KRW 18,400
charging.find.route.kpi.count	charging	충전 횟수	Charging Stops
charging.find.route.kpi.count.v	charging	1회	1
charging.find.route.kpi.distance	charging	총 거리	Total Distance
charging.find.route.kpi.distance.v	charging	396 km	396 km
charging.find.route.kpi.time	charging	예상 시간	Estimated Time
charging.find.route.kpi.time.v	charging	4시간 22분	4 hr 22 min
charging.find.route.lbl.battery	charging	현재 배터리 (%)	Current Battery (%)
charging.find.route.lbl.pref	charging	선호 충전 속도	Preferred Charging Speed
charging.find.route.lbl.range	charging	완충 주행거리 (km)	Full Charge Range (km)
charging.find.route.ph.end	charging	도착지	Destination
charging.find.route.ph.start	charging	출발지	Origin
charging.find.route.ph.via	charging	경유지 (선택)	Waypoint (optional)
charging.find.route.pref.cheap	charging	최저 요금	Lowest Cost
charging.find.route.pref.fast	charging	최단 시간	Shortest Time
charging.find.route.pref.stable	charging	안정성	Reliability
charging.find.route.reco.eta.unit	charging	예상 충전 시간	Est. Charging Time
charging.find.route.reco.remain	charging	잔여 주행	Remaining Range
charging.find.route.reco.title	charging	추천 경로 상 충전소	Stations Along Route
charging.find.route.reco1.addr	charging	경기 안성시 서운면 경부고속도로 상행	Seoun-myeon, Anseong, Gyeonggi · Gyeongbu Expwy. NB
charging.find.route.reco1.chip	charging	추천 1	Recommended 1
charging.find.route.reco1.eta	charging	18분	18 min
charging.find.route.reco1.meta	charging	출발 후 약 1시간 52분 (178km 지점)	~1 hr 52 min after departure (at 178 km)
charging.find.route.reco1.name	charging	안성휴게소 초급속 충전소	Anseong Rest Area Ultra-Fast Charger
charging.find.route.reco1.s1	charging	이용가능 6 / 8기	Available 6 / 8 units
charging.find.route.reco1.s2	charging	350kW 초급속	350 kW Ultra-Fast
charging.find.route.reco1.s3	charging	편의점·화장실	CVS · Restroom
charging.find.route.reco2.addr	charging	충북 옥천군 이원면 경부고속도로 상행	Iwon-myeon, Okcheon, Chungbuk · Gyeongbu Expwy. NB
charging.find.route.reco2.chip	charging	대체 1	Alternative 1
charging.find.route.reco2.eta	charging	28분	28 min
charging.find.route.reco2.meta	charging	출발 후 약 2시간 10분 (220km 지점)	~2 hr 10 min after departure (at 220 km)
charging.find.route.reco2.name	charging	옥천휴게소 급속 충전소	Okcheon Rest Area Fast Charger
charging.find.route.reco2.s1	charging	이용가능 4 / 6기	Available 4 / 6 units
charging.find.route.reco2.s2	charging	100kW 급속	100 kW Fast
charging.find.route.reco2.s3	charging	식당·편의시설	Restaurant · Amenities
charging.find.route.reco3.addr	charging	부산 해운대구 센텀중앙로 79	79 Centum-jungang-ro, Haeundae-gu, Busan
charging.find.route.reco3.chip	charging	여유	Flexible
charging.find.route.reco3.meta	charging	도착지 근처 (도착 후 충전)	Near destination (charge after arrival)
charging.find.route.reco3.name	charging	해운대 센텀 GS칼텍스	Haeundae Centum GS Caltex
charging.find.route.reco3.s1	charging	이용가능 3 / 4기	Available 3 / 4 units
charging.find.route.reco3.s2	charging	100kW 급속	100 kW Fast
charging.find.route.reco3.s3	charging	24시간	24 hours
charging.find.route.start.val	charging	서울 강남구 테헤란로 152	152 Teheran-ro, Gangnam-gu, Seoul
charging.find.route.title	charging	경로 기반 충전소 검색	Route-Based Station Search
charging.find.sd.addr	charging	서울 강남구 테헤란로 152 · 1층 주차장	152 Teheran-ro, Gangnam-gu, Seoul · Level 1 Parking
charging.find.sd.alert.desc	charging	충전 시작 후 3분 이상 응답이 없거나 고장이 발생하면 즉시 고객센터(1577-7121)로 연락 주세요. 수소충전소는 장애 신고를 통해 신속 처리됩니다.	If there is no response for 3+ minutes after charging starts, or a fault occurs, contact the customer center (1577-7121) immediately. H2 station issues are processed quickly via incident reports.
charging.find.sd.alert.title	charging	충전 중 안내	During Charging
charging.find.sd.brand	charging	GS칼텍스	GS Caltex
charging.find.sd.btn.fav	charging	즐겨찾기	Favorite
charging.find.sd.btn.reserve	charging	예약	Reserve
charging.find.sd.btn.route	charging	길찾기	Directions
charging.find.sd.chg.meta.chademo	charging	50kW · 차데모	50 kW · CHAdeMO
charging.find.sd.chg.meta.combo	charging	50kW · 콤보	50 kW · Combo
charging.find.sd.chg.meta.fastcombo	charging	100kW · DC콤보	100 kW · DC Combo
charging.find.sd.chg.meta.fastnacs	charging	100kW · NACS	100 kW · NACS
charging.find.sd.chg.meta.slowcombo	charging	50kW · DC콤보	50 kW · DC Combo
charging.find.sd.chg.state.avail	charging	이용가능	Available
charging.find.sd.chg.state.busy1	charging	사용중 08분	In use 08 min
charging.find.sd.chg.state.busy2	charging	사용중 22분	In use 22 min
charging.find.sd.chg.title	charging	충전기 현황 (6기)	Charger Status (6 units)
charging.find.sd.close.aria	charging	닫기	Close
charging.find.sd.fac.amenity	charging	편의시설	Amenities
charging.find.sd.fac.amenity.v	charging	편의점 · 화장실 · 휴게 공간	CVS · Restroom · Lounge
charging.find.sd.fac.hours	charging	운영 시간	Operating Hours
charging.find.sd.fac.hours.v	charging	24시간	24 hours
charging.find.sd.fac.operator	charging	운영사	Operator
charging.find.sd.fac.parking	charging	주차 요금	Parking Fee
charging.find.sd.fac.parking.v	charging	무료 (충전 중)	Free (while charging)
charging.find.sd.fac.tel	charging	연락처	Contact
charging.find.sd.fac.tel.v	charging	02-0000-0000	02-0000-0000
charging.find.sd.fac.title	charging	시설 정보	Facility Info
charging.find.sd.fee.fast100	charging	급속 (100kW)	Fast (100 kW)
charging.find.sd.fee.fast50	charging	급속 (50kW)	Fast (50 kW)
charging.find.sd.fee.member	charging	회원 할인	Member Discount
charging.find.sd.fee.member.v	charging	통합카드 10% 할인	Integrated card 10% off
charging.find.sd.fee.night	charging	심야 할인	Late-Night Discount
charging.find.sd.fee.night.v	charging	22:00~06:00 20% 할인	22:00–06:00 20% off
charging.find.sd.fee.roaming	charging	로밍 수수료	Roaming Fee
charging.find.sd.fee.roaming.v	charging	없음 (통합카드)	None (integrated card)
charging.find.sd.fee.title	charging	충전 요금	Charging Rates
charging.find.sd.kpi.avail	charging	이용가능	Available
charging.find.sd.kpi.busy	charging	사용중	In Use
charging.find.sd.kpi.fault	charging	고장	Fault
charging.find.sd.tile.avail.sub	charging	대기 없음	No wait
charging.find.sd.tile.busy.sub	charging	평균 18분	Avg. 18 min
charging.find.sd.tile.fault.sub	charging	정상 운영	Normal operation
charging.find.sd.title	charging	GS칼텍스 강남 직영	GS Caltex Gangnam Direct
charging.find.sort.aria	charging	정렬	Sort
charging.find.sort.avail	charging	이용 가능한순	Most Available
charging.find.sort.cheap	charging	요금 저렴한순	Lowest Price
charging.find.sort.count	charging	14개 충전소 검색됨	14 stations found
charging.find.sort.distance	charging	거리순	Nearest First
charging.find.sort.s1.status	charging	<span class="s-item avail">이용가능 4 / 6기</span><span class="s-item">100kW 급속</span><span class="s-item">347원/kWh</span>	<span class="s-item avail">Available 4 / 6</span><span class="s-item">100 kW Fast</span><span class="s-item">KRW 347/kWh</span>
charging.find.sort.s2.status	charging	<span class="s-item avail">이용가능 2</span><span class="s-item">700bar</span><span class="s-item">9,800원/kg</span>	<span class="s-item avail">Available 2</span><span class="s-item">700 bar</span><span class="s-item">KRW 9,800/kg</span>
charging.find.sort.s3.status	charging	<span class="s-item avail">이용가능 6 / 12기</span><span class="s-item">50kW 급속</span><span class="s-item">313원/kWh</span>	<span class="s-item avail">Available 6 / 12</span><span class="s-item">50 kW Fast</span><span class="s-item">KRW 313/kWh</span>
charging.find.sort.s4.status	charging	<span class="s-item avail">이용가능 2 / 4기</span><span class="s-item">350kW 초급속</span><span class="s-item">433원/kWh</span>	<span class="s-item avail">Available 2 / 4</span><span class="s-item">350 kW Ultra-Fast</span><span class="s-item">KRW 433/kWh</span>
charging.find.sort.s5.status	charging	<span class="s-item busy">대기 3</span><span class="s-item">700bar</span><span class="s-item">9,500원/kg</span>	<span class="s-item busy">Wait 3</span><span class="s-item">700 bar</span><span class="s-item">KRW 9,500/kg</span>
charging.find.sort.s6.status	charging	<span class="s-item avail">이용가능 18 / 24기</span><span class="s-item">완속 7kW</span><span class="s-item">225원/kWh (심야)</span>	<span class="s-item avail">Available 18 / 24</span><span class="s-item">Slow 7 kW</span><span class="s-item">KRW 225/kWh (night)</span>
charging.find.sort.title	charging	가까운 순 정렬 (현재 위치 기준 5km)	Sorted by distance (within 5 km of current location)
charging.find.sort.uptime	charging	가동률 높은순	Highest Uptime
charging.find.source.desc	charging	공공데이터포털 "한국환경공단 전기자동차 충전소 정보" API + H2KOREA 수소충전소 API 실시간 연동. 충전기 상태·가동률·고장 정보는 5분 주기로 갱신됩니다.	Real-time integration of public data API (Korea Environment Corporation EV station info) and H2KOREA hydrogen station API. Charger status, utilization, and fault info update every 5 minutes.
charging.find.source.title	charging	데이터 출처·갱신	Data Source & Updates
charging.find.st.s1.addr	charging	서울 강남구 테헤란로 152 · 1층 주차장	152 Teheran-ro, Gangnam-gu, Seoul · Level 1 Parking
charging.find.st.s1.addr.short	charging	서울 강남구 테헤란로 152	152 Teheran-ro, Gangnam-gu, Seoul
charging.find.st.s1.meta	charging	100kW 급속 · DC콤보	100 kW Fast · DC Combo
charging.find.st.s1.name	charging	GS칼텍스 강남 직영	GS Caltex Gangnam Direct
charging.find.st.s1.status	charging	<span class="s-item avail">이용가능 4</span><span class="s-item busy">사용중 2</span><span class="s-item">총 6기</span>	<span class="s-item avail">Available 4</span><span class="s-item busy">In use 2</span><span class="s-item">Total 6</span>
charging.find.st.s2.addr	charging	서울 강남구 선릉로 428 · 지상 2층	428 Seolleung-ro, Gangnam-gu, Seoul · 2F
charging.find.st.s2.addr.short	charging	서울 강남구 선릉로 428	428 Seolleung-ro, Gangnam-gu, Seoul
charging.find.st.s2.meta	charging	700bar · 승용/상용 겸용	700 bar · Passenger/Commercial
charging.find.st.s2.name	charging	스타광장 수소충전소	Star Plaza H2 Station
charging.find.st.s2.status	charging	<span class="s-item avail">이용가능 2</span><span class="s-item">대기 1</span>	<span class="s-item avail">Available 2</span><span class="s-item">Wait 1</span>
charging.find.st.s3.addr	charging	서울 강남구 학동로 426 · 공영주차장 B1	426 Hakdong-ro, Gangnam-gu, Seoul · Public Parking B1
charging.find.st.s3.addr.short	charging	서울 강남구 학동로 426	426 Hakdong-ro, Gangnam-gu, Seoul
charging.find.st.s3.meta	charging	50kW 급속 + 완속 10기	50 kW Fast + 10 Slow units
charging.find.st.s3.name	charging	환경부 강남구청 공공	MCEE Gangnam-gu Office (Public)
charging.find.st.s3.status	charging	<span class="s-item avail">이용가능 6</span><span class="s-item busy">사용중 4</span><span class="s-item">총 12기</span>	<span class="s-item avail">Available 6</span><span class="s-item busy">In use 4</span><span class="s-item">Total 12</span>
charging.find.st.s4.addr	charging	서울 강남구 삼성로 427 · 대치역 2번 출구	427 Samseong-ro, Gangnam-gu, Seoul · Daechi Stn. Exit 2
charging.find.st.s4.addr.short	charging	서울 강남구 삼성로 427	427 Samseong-ro, Gangnam-gu, Seoul
charging.find.st.s4.meta	charging	350kW 초급속 · NACS 포함	350 kW Ultra-Fast · NACS supported
charging.find.st.s4.name	charging	대치역 SK시그넷 초급속	Daechi Stn. SK Signet Ultra-Fast
charging.find.st.s4.status	charging	<span class="s-item avail">이용가능 2</span><span class="s-item fault">고장 1</span><span class="s-item">총 4기</span>	<span class="s-item avail">Available 2</span><span class="s-item fault">Fault 1</span><span class="s-item">Total 4</span>
charging.find.st.s5.addr	charging	서울 서초구 남부순환로 2688	2688 Nambusunhwan-ro, Seocho-gu, Seoul
charging.find.st.s5.meta	charging	700bar + 350bar · 상용 전용 포함	700 bar + 350 bar · Commercial included
charging.find.st.s5.name	charging	양재IC 현대 수소충전소	Yangjae IC Hyundai H2 Station
charging.find.st.s5.status	charging	<span class="s-item busy">운영중 (대기 3)</span><span class="s-item">버스 가능</span>	<span class="s-item busy">Operating (Wait 3)</span><span class="s-item">Bus OK</span>
charging.find.st.s6.addr	charging	서울 서초구 서초대로 396 · 지하주차장	396 Seocho-daero, Seocho-gu, Seoul · Underground Parking
charging.find.st.s6.addr.short	charging	서울 서초구 서초대로 396	396 Seocho-daero, Seocho-gu, Seoul
charging.find.st.s6.meta	charging	완속 7kW · 24시간 개방	Slow 7 kW · 24 hours
charging.find.st.s6.name	charging	서초동 EV Infra 완속	Seocho-dong EV Infra Slow
charging.find.st.s6.status	charging	<span class="s-item avail">이용가능 18</span><span class="s-item busy">사용중 6</span><span class="s-item">총 24기</span>	<span class="s-item avail">Available 18</span><span class="s-item busy">In use 6</span><span class="s-item">Total 24</span>
charging.find.st.s7.addr	charging	서울 송파구 올림픽로 300 · 지하 3층	300 Olympic-ro, Songpa-gu, Seoul · B3
charging.find.st.s7.meta	charging	100kW 급속 · 편의시설 완비	100 kW Fast · Full amenities
charging.find.st.s7.name	charging	롯데월드몰 파워큐브	Lotte World Mall PowerCube
charging.find.st.s7.status	charging	<span class="s-item avail">이용가능 8</span><span class="s-item busy">사용중 4</span><span class="s-item fault">고장 2</span>	<span class="s-item avail">Available 8</span><span class="s-item busy">In use 4</span><span class="s-item fault">Fault 2</span>
charging.find.st.s8.addr	charging	서울 송파구 올림픽로 35길 124	124 Olympic-ro 35-gil, Songpa-gu, Seoul
charging.find.st.s8.meta	charging	700bar · 승용 전용	700 bar · Passenger only
charging.find.st.s8.name	charging	잠실 코하이젠 수소충전소	Jamsil KOHYGEN H2 Station
charging.find.st.s8.status	charging	<span class="s-item avail">이용가능 1</span><span class="s-item">대기 0</span>	<span class="s-item avail">Available 1</span><span class="s-item">Wait 0</span>
charging.find.st.type.ev	charging	전기	EV
charging.find.st.type.h2	charging	수소	H2
charging.find.status.avail	charging	이용가능	Available
charging.find.status.busy	charging	사용중	In Use
charging.find.status.fault	charging	고장	Fault
charging.find.status.faultreport	charging	고장 신고	Fault Report
charging.find.status.operating	charging	운영중	Operating
charging.find.status.total	charging	총	Total
charging.find.status.wait	charging	대기	Wait
charging.find.tab.aria	charging	검색 방식	Search method
charging.find.tab.map	charging	통합 지도 (전기+수소)	Integrated Map (EV + H2)
charging.find.tab.near	charging	내 주변 충전소	Nearby Stations
charging.find.tab.route	charging	경로 검색	Route Search
charging.find.title	charging	충전소 찾기	Find Charging Stations
charging.find.type.ev	charging	전기	EV
charging.find.type.h2	charging	수소	H2
charging.help.btn.register	charging	등록	Submit
charging.help.field.addr	charging	주소 :	Address:
charging.help.field.applicant	charging	신청기관(자)	Applicant
charging.help.field.content	charging	신청내용	Content
charging.help.field.detail	charging	상세 :	Detail:
charging.help.field.email	charging	이메일	Email
charging.help.field.name	charging	이름	Name
charging.help.field.phone	charging	연락처	Phone
charging.help.field.site	charging	대상부지	Site
charging.help.field.target	charging	문의대상	Inquiry Subject
charging.help.field.zip.btn	charging	우편번호	Postal Code
charging.help.file.label	charging	첨부파일<br>(토지대장)	Attachment<br>(Land Register)
charging.help.file.none	charging	선택된 파일 없음	No file selected
charging.help.file.select	charging	파일선택	Select File
charging.help.h2	charging	수소충전소 Help Desk	H2 Station Help Desk
charging.help.note1	charging	※ 파일첨부시 첨부가능한 용량은 최대 3M 입니다.	* Max attachment size is 3 MB.
charging.help.note2	charging	※ 문의 시 지번 주소별 진행·처리됨으로 한 건씩 요청 바랍니다.(지번건=요청건)	* Inquiries are processed per lot address; please submit one inquiry per lot (one lot = one request).
charging.help.note3	charging	※ 접수부터 완료까지 통상 처리기간은 5~15일 정도 소요되며, 신청 대상 내용에 따라 조정될 수 있습니다.	* Processing typically takes 5–15 days from receipt to completion; may vary based on the request.
charging.help.opt.changesite	charging	기존 설치 부지 변경 문의	Existing Site Change Inquiry
charging.help.opt.etc	charging	기타 문의	Other Inquiries
charging.help.opt.individual	charging	개인	Individual
charging.help.opt.local	charging	지방자치단체	Local Government
charging.help.opt.newstation	charging	수소충전소 신규 설치 검토	New H2 Station Installation Review
charging.help.opt.permit	charging	운영 인허가 관련 문의	Operation Permit Inquiry
charging.help.opt.private	charging	민간사업자	Private Operator
charging.help.opt.public	charging	공공기관	Public Agency
charging.help.opt.select	charging	선택	Select
charging.help.placeholder.name	charging	홍길동	Name
charging.help.section.required	charging	 는 필수 항목입니다.	 indicates required fields.
charging.help.section.title	charging	문의내용 접수	Inquiry Submission
charging.help.step.1	charging	01. 개인정보 제공동의	01. Privacy Consent
charging.help.step.2	charging	02. 본인인증	02. Identity Verification
charging.help.step.3	charging	03. 정보입력	03. Enter Information
charging.help.step.4	charging	04. 입력완료	04. Submission Complete
charging.help.stepper.aria	charging	신청 단계	Application Steps
charging.help.tab.report	charging	수소충전소 장애 신고	Report H2 Station Issue
charging.help.tab.status	charging	운영 현황 안내	Operation Status
charging.help.textarea.ph	charging	※ 내용은 최대 3,000Byte까지 입력 가능합니다.	* Up to 3,000 bytes
charging.help.title	charging	수소충전소 Help Desk	H2 Station Help Desk
charging.install.bc.install	charging	충전시설 설치	Install Chargers
charging.install.contest.alert.body	charging	연도별 공모 규모·대당 보조금 단가·평가 항목은 매년 환경부 「전기자동차 충전인프라 보조금 업무처리지침」 및 공고문에 따라 결정됩니다. 세부 사항은 무공해차 통합누리집 자료실에서 「업무처리지침」 및 「공고문」을 다운로드하여 확인해 주십시오.	Annual procurement size, per-unit subsidy, and evaluation criteria are determined by MCEE Electric Vehicle Charging Infrastructure Subsidy Operations Guideline and annual notices. Please download the Guideline and Notice from the Library on the Zero-Emission Vehicle Portal for details.
charging.install.contest.alert.title	charging	공고 일정·단가·평가 기준 안내	Schedule, Rates, and Evaluation Criteria
charging.install.contest.badge.open	charging	접수 중	Open
charging.install.contest.badge.soon	charging	예정	Upcoming
charging.install.contest.bc.current	charging	완속/급속 공모 신청	Slow/Fast Procurement Application
charging.install.contest.btn	charging	공모 안내 보기	View Procurement Info
charging.install.contest.btn.apply	charging	공모 신청	Apply
charging.install.contest.btn.apply2	charging	공모 신청	Apply
charging.install.contest.c1.li1	charging	지원 규모: 1만 5,000기	Size: 15,000 units
charging.install.contest.c1.li2	charging	접수 기간: 2026-04-15 ~ 2026-06-30	Period: 2026-04-15 to 2026-06-30
charging.install.contest.c1.li3	charging	대상: 사업자 (구축 50기 이상)	Target: Operators (50+ units)
charging.install.contest.c1.li4	charging	지원 단가: 140 ~ 180만원/기	Rate: KRW 1.4M – 1.8M/unit
charging.install.contest.c1.title	charging	2026년 상반기 공용 완속충전기 공모	2026 H1 Public Slow Charger Procurement
charging.install.contest.c2.li1	charging	지원 규모: 3,000기 (50/100/200kW)	Size: 3,000 units (50/100/200 kW)
charging.install.contest.c2.li2	charging	접수 기간: 2026-05-01 ~ 2026-07-31	Period: 2026-05-01 to 2026-07-31
